,Training
0,0.9410781453110667
1,0.9409354176611439
2,0.9417757496552925
3,0.9420085402517686
4,0.9377274772880605
5,0.9359289638698204
6,0.9326496845356421
7,0.9306255276434482
8,0.9300681084352609
9,0.9302877611285078
10,0.9301936044779926
11,0.9309963217885293
12,0.9309550169672084
13,0.9306093443959459
14,0.9311936661457603
15,0.9313930867138067
16,0.9326639849103344
17,0.9340708736917281
18,0.9354353059100632
19,0.936996811887129
20,0.9383994692267065
21,0.939577746403187
22,0.9409561203696326
23,0.9422136785005716
24,0.9432217550148869
25,0.9439886283693852
26,0.9441375351520337
27,0.9442716594244298
28,0.9443090521083507
29,0.9441089961081292
30,0.9437437873437049
31,0.943445883444547
32,0.9431320260121603
33,0.9424897149556715
34,0.942058409775906
35,0.941725911371782
36,0.9415569180739606
37,0.9415450072018834
38,0.9415956607164183
39,0.9416318091908698
40,0.9419140309194186
41,0.9424123714876829
42,0.9429374806542951
43,0.94332619633164
44,0.9436349075882747
45,0.9439460973836946
46,0.944402679053106
47,0.9450345626691569
48,0.9455452642365548
49,0.9462299864931232
50,0.9467010033778693
51,0.9468067411063785
52,0.9468873482338692
53,0.9469906218664961
54,0.946809257922939
55,0.9469875116833671
56,0.9471110233601168
57,0.9471112459352538
58,0.9465516200139337
59,0.9458412273188329
60,0.9447342861835202
61,0.9439236911739822
62,0.9431061636819338
63,0.9423681844777658
64,0.94168123243902
65,0.9407928950770948
66,0.939948128817731
67,0.9391433758025458
68,0.9382782892578038
69,0.9376428408632339
70,0.9371105549273157
71,0.9366650736517759
72,0.9363474844962132
73,0.9356696950399094
74,0.9351606090911982
75,0.9346574187596194
76,0.9343575611773947
77,0.9340247010894412
78,0.9337253379093529
79,0.933361571915436
80,0.9330887352197483
81,0.9328135362312729
82,0.9326038730631978
83,0.9325217912722027
84,0.9324257110983848
85,0.9325142465407635
86,0.9323990512504131
87,0.9322782865836629
88,0.9320491725386744
89,0.9319193817404597
90,0.9316742453291946
91,0.9316538941336205
92,0.9316077582838601
93,0.9315321268048149
94,0.9314910886424471
95,0.9314281065407014
96,0.9314091309581662
97,0.9313416612509978
98,0.9312893772644614
99,0.9310886168936054
100,0.9311070906911246
101,0.9312389539712024
102,0.9312686452923613
103,0.9313330984563079
104,0.9312504963639708
105,0.9312657148939041
106,0.9310375464091755
107,0.9309450706966067
108,0.9308265493158211
109,0.9307310023227315
