,Training
0,0.5831407403658077
1,0.5842008916843954
2,0.5864233125940076
3,0.5817060296713406
4,0.5790535170057037
5,0.5801942228111281
6,0.5805914510354445
7,0.5808795335685322
8,0.5808033663364816
9,0.5817965403725301
10,0.582170905080337
11,0.5816696029665112
12,0.5806151410694194
13,0.5794442824278571
14,0.5790646067008487
15,0.5779081553426968
16,0.5767190000741296
17,0.5756050653942657
18,0.5744422427995731
19,0.5737351788894645
20,0.5727692159275692
21,0.572417372844204
22,0.5722322971969618
23,0.5723150501291459
24,0.5725211928618341
25,0.5728350761041332
26,0.5731458592063243
27,0.5733110715737739
28,0.5736091291655712
29,0.5736870143423812
30,0.5737070011457513
31,0.5734370832087562
32,0.5730251213873019
33,0.5724524483560669
34,0.5718596381860118
35,0.5713770089484098
36,0.5707855194870751
37,0.5699312267158884
38,0.5690408100618946
39,0.5679885608754833
40,0.5670574125056689
41,0.5661892318434508
42,0.5653788815649395
43,0.564422293727393
44,0.5633853120558784
45,0.5622775698624161
46,0.561197086367144
47,0.5600119846221729
48,0.5587601490572434
49,0.5572417129501617
50,0.5555140923906964
51,0.5536614467950779
52,0.5517390130044191
53,0.549716956236739
54,0.5475732815724423
55,0.5452946849823058
56,0.5428962601051516
57,0.5403532319346382
58,0.5377510190019109
59,0.5349792467028944
60,0.5320749813058498
61,0.5290592156272185
62,0.5259794859975538
63,0.522717884766744
64,0.5193114425381079
65,0.5157828436821754
66,0.5121238654722503
67,0.5083800788172883
68,0.5044956219808326
69,0.500476436922462
70,0.49653239020864104
71,0.4925315749035709
72,0.4883984488292242
73,0.48414940694969144
74,0.47988639204413674
75,0.4756520178814027
76,0.47129800047133746
77,0.46706375764001945
78,0.4629428321815989
79,0.45888102038770884
80,0.45500801658019896
81,0.4509642411565552
82,0.44677529683915207
83,0.4425478435075729
84,0.4384063911033845
85,0.4342757896401266
86,0.4301064301731012
87,0.42606659377787737
88,0.4220967960527379
89,0.4182106299358574
90,0.4142712868180186
91,0.41031487342424333
92,0.4064891244993503
93,0.4026625617764841
94,0.39889496888455744
95,0.39525235146992915
96,0.39168662511249097
97,0.3883203395944017
98,0.38501873239439666
99,0.38181749913171487
100,0.37868314433259126
101,0.3756369053877233
102,0.37263381709536203
103,0.3697085344774306
104,0.36677861198984113
105,0.36392369626995824
106,0.36113594079076033
107,0.3583979963717672
108,0.35567995089855897
109,0.3530230857552338
110,0.35039347634387147
111,0.3478124336995341
112,0.34525705451671596
113,0.34273024957933074
114,0.34023302959610496
115,0.3377613440847201
116,0.335309955667366
117,0.3328969771652236
118,0.33051791486894494
119,0.3281554307189405
120,0.32582119161186646
121,0.32347957467356614
122,0.3211770746094314
123,0.31890075625313097
124,0.3166218275519456
125,0.31436592850350786
126,0.3121251751629402
127,0.3099078186387466
128,0.3077044292970112
129,0.3055466239948419
130,0.30339226586737217
131,0.3012625674393948
132,0.29920630140550314
133,0.297102250826588
134,0.2950213968604236
135,0.2929364935142309
136,0.2908735889855136
137,0.28883315308564794
138,0.28681551688005197
139,0.28482089650361975
140,0.28284941310457395
141,0.2809011094432045
142,0.27897596364865973
143,0.27707390059247183
144,0.27519480128315227
145,0.27333851062950115
146,0.27150484386594065
147,0.2696935918837678
148,0.2679045256689136
149,0.2661374000098056
150,0.264391956607984
151,0.2626679266986032
152,0.26096503326716675
153,0.259282992932061
154,0.25762151754898105
155,0.2559803155826012
156,0.254359093282275
157,0.2527575556917496
158,0.2511754075174618
159,0.24961235387568204
160,0.24806810093532614
161,0.24654235647049522
162,0.24503483033458923
163,0.24354523486603072
164,0.2420732852341754
165,0.2406186997327726
166,0.23918120002734206
167,0.23776051136200246
168,0.2363563627305799
169,0.23496848701623424
170,0.23359662110333104
171,0.23224050596485005
172,0.2308998867282426
173,0.22957451272232218
174,0.22826413750748048
175,0.2269685188912731
176,0.2256874189311889
177,0.2244206039262244
178,0.22316784439870468
179,0.221928915067637
180,0.2207035948147441
