,Training
0,0.9108970174836201
1,0.9011920253104253
2,0.894584010766886
3,0.8899869742091299
4,0.8838034617680066
5,0.8782095365662915
6,0.8720931416101108
7,0.8653587443574124
8,0.8567982604082496
9,0.8485246749667237
10,0.837013228756673
11,0.8214951927032119
12,0.7974245244058626
13,0.7638863889499559
14,0.7237570132978135
15,0.6837552852955754
16,0.6470601379561414
17,0.6142590670333065
18,0.5847011137781224
19,0.5581801871147309
20,0.5340862548836309
21,0.512239116957407
22,0.4922678075715185
23,0.4739283275976291
24,0.4571710255085547
25,0.44166818980130396
26,0.42745591457187687
27,0.4142213127128825
28,0.4017753334840361
29,0.3903151817724232
30,0.3794448035253431
31,0.3691614962309569
32,0.35947435942568917
33,0.35035636085166355
34,0.34188328015686925
35,0.33376468301933926
36,0.32603390934246257
37,0.31866685068998835
38,0.3116782049107702
39,0.3049199389995955
40,0.2984075742712758
41,0.29201440847331783
42,0.285917319123059
43,0.28007874922979265
44,0.27443462136342534
45,0.2690300338513134
46,0.2638150959034171
47,0.25880672781812075
48,0.25399969586533294
49,0.24936939869884708
50,0.24495796729091046
51,0.24073618219139872
52,0.23663976753799432
53,0.23272367443067968
54,0.2289249414395093
55,0.22529561243720586
56,0.2217714231810542
57,0.21835519032871828
58,0.2150478631628182
59,0.21186768594776337
60,0.20881561412614474
61,0.20585184102245335
62,0.2029664191865965
63,0.20014749254283065
64,0.19743240491770891
65,0.19478651559604873
66,0.1922420242156258
67,0.18976021667016885
68,0.18734198358903587
69,0.18498775078922375
70,0.18271811712603503
71,0.18052291806322796
72,0.17839607402663027
73,0.17631555726046663
74,0.17429412560750457
75,0.1723244761684608
76,0.17040514193066483
77,0.1685373199097936
78,0.16671049342645805
79,0.16492792609909734
80,0.1631675067229751
81,0.1614536422863668
82,0.15978235351755865
83,0.15815005701363388
84,0.15653985693124053
85,0.15497599400335496
86,0.1534336489073139
87,0.1519427801334931
88,0.15044170353875433
89,0.14897313647443627
90,0.1474553936558046
91,0.14596309204377392
92,0.1445050940389991
93,0.14311173227546214
94,0.1417127803266372
95,0.14032760560687038
96,0.1389775431911985
97,0.1376765703381691
98,0.1364554057208997
99,0.13526154080526
100,0.13412686494565637
101,0.1330358705473102
102,0.1319666783561836
103,0.13091415654338462
104,0.1298803059425728
105,0.12886971299176653
106,0.12789246343993557
107,0.1269321052325308
108,0.1259814494161134
109,0.1250477274108669
110,0.12413437627924132
111,0.1232352879354601
112,0.12234739685507037
113,0.12144854200010002
114,0.12053279088705726
115,0.11960011327535475
116,0.11868154013094662
117,0.11776496916417006
118,0.11688672827216726
119,0.11600259725352788
120,0.11513223941731064
121,0.11430735036650896
122,0.11343807657574612
123,0.11256923059353284
124,0.11171259957464606
125,0.11085636999060669
126,0.11001909961277802
127,0.10920103012429438
128,0.10840190041919584
129,0.10762735837392727
130,0.10687048341562305
131,0.10614222600879708
132,0.10540761528650118
133,0.10466697995636749
134,0.10393706837138159
135,0.10320022872087217
136,0.10245541185265342
137,0.10171420508224836
138,0.1009830290174184
139,0.10026199790438857
140,0.09955105137801654
141,0.09885005023415595
142,0.09815882095614215
143,0.09747717668180261
144,0.09680492706039215
145,0.09614188284191023
146,0.09548785796691595
147,0.0948426704714704
148,0.09420614283198399
149,0.09357810204694375
150,0.09295837959664477
151,0.09234681134794111
152,0.09174323743577088
153,0.09114750213644714
154,0.09055945373972565
155,0.08997894442286965
156,0.08940583012813352
157,0.08883997044423317
158,0.08828122849197138
159,0.08772947081400073
160,0.08718456726862202
161,0.08664639092748158
162,0.08611481797701769
163,0.08558972762350477
164,0.08507100200154674
165,0.08455852608587615
166,0.08405218760632042
167,0.08355187696580661
168,0.08305748716127521
169,0.08256891370738535
170,0.08208605456289772
171,0.08160881005962506
172,0.08113708283384688
173,0.08067077776008914
174,0.08020980188717435
175,0.07975406437645177
176,0.07930347644212153
177,0.07885795129357029
178,0.07841740407963972
179,0.07798175183475284
180,0.07755091342682603
181,0.07712480950689841
182,0.07670336246041262
183,0.07628649636008429
184,0.07587413692030005
185,0.07546621145298661
186,0.07506264882489577
187,0.07466337941625271
188,0.074268335080717
189,0.07387744910660796
190,0.07349065617934822
191,0.07310789234508079
192,0.07272909497541716
193,0.07235420273327584
194,0.07198315553977185
195,0.07161589454211996
196,0.07125236208251529
197,0.07089250166795713
198,0.07053625794098246
199,0.07018357665127756
200,0.06983440462813686
201,0.06948868975374015
202,0.06914638093721927
203,0.0688074280894878
204,0.06847178209880737
205,0.06813939480706559
206,0.0678102189867416
207,0.0674842083185361
208,0.06716131736964359
209,0.06684150157264529
210,0.06652471720500241
211,0.06621092136912977
212,0.06590007197303056
213,0.06559212771147435
214,0.06528704804770005
215,0.06498479319562736
216,0.06468532410255996
217,0.06438860243236473
218,0.06409459054911192
219,0.06380325150116141
220,0.06351454900568104
221,0.06322844743358338
222,0.06294491179486776
223,0.06266390772435496
224,0.06238540146780227
225,0.06210935986838721
226,0.061835750353548505
227,0.06156454092217329
228,0.061295700132120136
229,0.061029197088067436
230,0.060765001429677536
231,0.060503083320066854
232,0.060243413434573005
233,0.05998596294980987
234,0.05973070353300217
235,0.059477607331591145
236,0.05922664696310342
237,0.05897779550527525
238,0.05873102648642473
239,0.05848631387606463
240,0.05824363207574901
241,0.05800295591014674
242,0.057764260618335436
243,0.05752752184530947
244,0.057292715633695965
245,0.05705981841567281
246,0.05682880700508304
247,0.05659965858973996
248,0.05637235072391771
249,0.05614686132102204
250,0.055923168646436296
251,0.05570125131053774
252,0.05548108826187949
253,0.055262658780533505
254,0.05504594247159024
255,0.05483091925881059
256,0.054617569378426115
257,0.05440587337308338
258,0.054195812085928614
259,0.05398736665482889
260,0.0537805185067261
261,0.05357524935212027
262,0.053371541179678746
263,0.05316937625096784
264,0.052968737095303815
265,0.052769606504719964
266,0.05257196752904686
267,0.05237580347110265
268,0.05218109788199075
269,0.05198783455650189
270,0.05179599752861812
271,0.05160557106711585
272,0.05141653967126561
273,0.051228888066625955
274,0.05104260120092913
275,0.0508576642400562
276,0.050674062564099315
277,0.05049178176350903
278,0.05031080763532441
279,0.05013112617948397
280,0.04995272359521534
281,0.04977558627750181
282,0.049599700813623714
283,0.049425053979772926
284,0.04925163273773863
285,0.04907942423166262
286,0.04890841578486241
287,0.04873859489672052
288,0.04856994923963844
289,0.04840246665605349
290,0.04823613515551722
291,0.04807094291183394
292,0.04790687826025772
293,0.04774392969474663
294,0.04758208586527292
295,0.04742133557518754
296,0.047261667778638085
297,0.04710307157803863
298,0.04694553622159034
299,0.0467890511008517
300,0.046633605748357176
301,0.046479189835283145
302,0.0463257931691601
303,0.04617340569162997
304,0.046022017476247574
305,0.0458716187263252
306,0.04572219977281925
307,0.045573751072258153
308,0.04542626320471039
309,0.04527972687179197
310,0.045134132894712256
311,0.044989472212357405
312,0.04484573587941058
313,0.044702915064508
314,0.04456100104843019
315,0.04441998522232757
316,0.04427985908597953
317,0.044140614246086514
318,0.04400224241459408
319,0.04386473540704847
320,0.0437280851409829
321,0.04359228363433389
322,0.04345732300388703
323,0.043323195463751574
324,0.04318989332386311
325,0.04305740898851384
326,0.04292573495490982
327,0.0427948638117546
328,0.04266478823785869
329,0.04253550100077427
330,0.04240699495545471
331,0.04227926304293828
332,0.04215229828905559
333,0.04202609380316021
334,0.04190064277688212
335,0.041775938482903306
336,0.04165197427375522
337,0.04152874358063761
338,0.04140623991225814
339,0.041284456853692676
340,0.04116338806526543
341,0.04104302728144886
342,0.04092336830978283
343,0.04080440502981253
344,0.04068613139204496
345,0.04056854141692344
346,0.040451629193819914
347,0.04033538888004457
348,0.04021981469987252
349,0.04010490094358717
350,0.03999064196653992
351,0.039877032188225886
352,0.03976406609137539
353,0.039651738221060766
354,0.03954004318381834
355,0.039428975646785144
356,0.03931853033685017
357,0.03920870203981986
358,0.03909948559959752
359,0.03899087591737642
360,0.03888286795084629
361,0.038775456713413016
362,0.03866863727343116
363,0.03856240475344921
364,0.03845675432946715
365,0.03835168123020631
366,0.03824718073639104
367,0.038143248180042146
368,0.03803987894378187
369,0.03793706846015003
370,0.037834812210931296
371,0.037733105726493306
372,0.03763194458513542
373,0.037531324412447886
374,0.03743124088068136
375,0.03733168970812636
376,0.03723266665850268
377,0.0371341675403585
378,0.03703618820647892
379,0.03693872455330398
380,0.03684177252035567
381,0.03674532808967411
382,0.03664938728526243
383,0.036553946172540396
384,0.03645900085780652
385,0.03636454748770858
386,0.03627058224872225
387,0.03617710136663792
388,0.0360841011060553
389,0.03599157776988592
390,0.0358995276988632
391,0.03580794727105998
392,0.03571683290141351
393,0.03562618104125764
394,0.03553598817786205
395,0.035446250833978565
396,0.03535696556739423
397,0.03526812897049123
398,0.03517973766981331
399,0.03509178832563878
400,0.035004277631559874
401,0.03491720231406843
402,0.03483055913214767
403,0.03474434487687007
404,0.03465855637100126
405,0.034573190468609634
406,0.034488244054681844
407,0.0344037140447439
408,0.0343195973844878
409,0.03423589104940369
410,0.0341525920444173
411,0.03406969740353279
412,0.03398720418948065
413,0.0339051094933708
414,0.03382341043435063
415,0.03374210415926805
416,0.03366118784233935
417,0.033580658684821796
418,0.03350051391469096
419,0.033420750786322645
420,0.03334136658017936
421,0.03326235860250121
422,0.03318372418500121
423,0.03310546068456489
424,0.033027565482954144
425,0.03295003598651528
426,0.03287286962589112
427,0.032796063855737176
428,0.03271961615444175
429,0.032643524023850026
430,0.032567784988991905
431,0.03249239659781368
432,0.03241735642091342
433,0.03234266205127998
434,0.032268311104035656
435,0.032194301216182365
436,0.03212063004635128
437,0.03204729527455596
438,0.03197429460194877
439,0.031901625750580705
440,0.03182928646316442
441,0.03175727450284052
442,0.031685587652946975
443,0.03161422371679169
444,0.03154318051742811
445,0.03147245589743388
446,0.03140204771869242
447,0.03133195386217748
448,0.03126217222774056
449,0.031192700733901135
450,0.031123537317639713
451,0.031054679934193606
452,0.030986126556855433
453,0.030917875176774252
454,0.030849923802759364
455,0.030782270461086645
456,0.030714913195307465
457,0.030647850066060068
458,0.030581079150883466
459,0.030514598544033718
460,0.030448406356302627
461,0.030382500714838768
462,0.030316879762970865
463,0.030251541660033427
464,0.030186484581194648
465,0.030121706717286503
466,0.03005720627463707
467,0.029992981474904937
468,0.0299290305549158
469,0.029865351766501087
470,0.029801943376338663
471,0.029738803665795573
472,0.02967593093077275
473,0.02961332348155171
474,0.02955097964264318
475,0.029488897752637626
476,0.029427076164057674
477,0.029365513243212366
478,0.029304207370053258
479,0.029243156938032314
480,0.029182360353961562
481,0.029121816037874504
482,0.029061522422889258
483,0.02900147795507337
484,0.028941681093310332
485,0.028882130309167718
486,0.028822824086766962
487,0.028763760922654737
488,0.02870493932567589
489,0.028646357816847982
490,0.028588014929237293
491,0.028529909207836403
492,0.028472039209443228
493,0.02841440350254152
494,0.02835700066718285
495,0.02829982929486998
496,0.02824288798844167
497,0.028186175361958856
498,0.028129690040592206
499,0.02807343066051102
