,Training
0,1.426866748015655
1,1.4299941344177654
2,1.429223521103885
3,1.43316313879199
4,1.4303448738392577
5,1.4290428794526706
6,1.4310326925524932
7,1.4328567321668964
8,1.43344679218808
9,1.4341607170660655
10,1.4368877323211855
11,1.437788701639711
12,1.4395264111325385
13,1.4421137247669165
14,1.4440267717888449
15,1.4448276615680695
16,1.444785938407132
17,1.4442034365172483
18,1.4442359394552475
19,1.4447102565859196
20,1.4459294706252062
21,1.4476404323793206
22,1.4489905778153391
23,1.4504680621583796
24,1.4524238436035364
25,1.4535146082333337
26,1.4536346886517797
27,1.4540002191027939
28,1.4544817274628437
29,1.4547290622483824
30,1.455054203345236
31,1.4552227923241328
32,1.4557990251196227
33,1.4563728885680556
34,1.4567634194707288
35,1.4571373134203915
36,1.4574008300344419
37,1.457367492546201
38,1.4572776811988157
39,1.4572368560722526
40,1.4570322609592823
41,1.456613141164266
42,1.4560049084923627
43,1.4555008502254765
44,1.4546787252507876
45,1.4539528920829958
46,1.4531194677489911
47,1.4523166715920552
48,1.451308714426852
49,1.4504115017209365
50,1.4497752942515008
51,1.4492744796464823
52,1.4490069754737818
53,1.4486733075281426
54,1.4485678719872868
55,1.4483233510430642
56,1.4478828481304793
57,1.4476584678207094
58,1.4472929689789216
59,1.4466908063496737
60,1.4459229323054728
61,1.4453003067338788
62,1.4446331608979757
63,1.4438763756959738
64,1.4433495790052806
65,1.4428293012388798
66,1.4423016733429248
67,1.441746260536959
68,1.4411580908106592
69,1.4405927600427832
70,1.4400758077284186
71,1.4395852636977486
72,1.4389861168102012
73,1.4383471516365682
74,1.4378106335084417
75,1.437278017584164
76,1.4367058987814139
77,1.436015624484216
78,1.4354320048434548
79,1.4348677797121485
80,1.434337047128889
81,1.4337746066785761
82,1.4331972066762924
83,1.432694377606428
84,1.432254826919567
85,1.4318232083832463
86,1.4314279610098788
87,1.431001627473304
88,1.4306881776870315
89,1.4304554574016768
90,1.4303480443932985
91,1.4301606274128857
92,1.4299476278688923
93,1.4297160623794976
94,1.4293114156995703
95,1.4288970206376623
96,1.4285099042084626
97,1.4281095156744776
98,1.4276489065794111
99,1.4271492645788546
100,1.426570353275809
101,1.4259761714712738
102,1.4254160724402947
103,1.4248667146116858
104,1.424330559383021
105,1.4238099755899771
106,1.4232963766614795
107,1.4228057181053968
108,1.4223347022482997
109,1.421872222889689
110,1.4214023351400438
111,1.420933023664122
112,1.4204822816927436
113,1.4200215688945013
114,1.4195764250260856
115,1.4191589794311708
116,1.4187411885867718
117,1.4183205969316695
118,1.4179192638026996
119,1.4175270165796636
120,1.417131615360611
121,1.4167355203906231
122,1.416338748151366
123,1.4159342797451482
124,1.4155478874755953
125,1.4151768337409913
126,1.4148070187208448
127,1.4144384130651153
128,1.4140845138404428
129,1.4137203757138168
130,1.413352891973733
131,1.4129777317647014
132,1.4126125602932647
133,1.412265835414993
134,1.4119328394052924
135,1.4116132698401784
136,1.4112962186196534
137,1.4109774156217119
138,1.4106485285069215
139,1.4103222376130584
140,1.4099964247147456
141,1.4096874662492647
142,1.4093990774361687
143,1.4091106309042531
144,1.4088361701257595
145,1.4085694310679535
146,1.4083003621649808
147,1.4080270446351641
148,1.407763230114063
149,1.4075067894513924
150,1.4072633559948486
151,1.407028845692308
152,1.406804985323637
153,1.4065896786771073
154,1.4063714985365285
155,1.4061523648369156
156,1.4059304423849468
157,1.4057260395245923
158,1.4055205276971632
159,1.4053139273829394
160,1.4051243308061248
161,1.40493885121293
162,1.404759197974245
163,1.404565747976807
164,1.404385203975557
165,1.4042120744417916
166,1.4040462264231373
167,1.4038927264952503
168,1.403730693313773
169,1.4035773946944012
170,1.4034224669502233
171,1.4032625543909203
172,1.4030994252267586
173,1.4029548776540346
174,1.402806974845654
175,1.4026640416088823
176,1.4025194167596202
177,1.4023780338126646
178,1.4022430903388825
179,1.4021128622800956
180,1.4019856635783967
181,1.4018678412626098
182,1.4017481084339538
183,1.4016312416713093
184,1.4015171945467728
185,1.4014012268577092
186,1.4012755862757431
187,1.4011404265086438
188,1.4010112997103175
189,1.4008819824686847
190,1.4007540017244065
191,1.4006227880586206
192,1.4004883913786483
193,1.4003373552843081
194,1.4001878497353968
195,1.400036880625196
196,1.3998977704399067
197,1.399765928932152
198,1.3996310055771557
199,1.3994872233897555
200,1.3993434050538716
201,1.399196668192444
202,1.399045621306136
203,1.3989031731384396
204,1.3987620963997807
205,1.3986181305377015
206,1.3984811640598458
207,1.3983510962965517
208,1.3982166821770232
209,1.398083530116523
210,1.3979543824467093
211,1.3978209406341269
212,1.3976887337317276
213,1.3975509399899557
214,1.3974089914516974
215,1.3972642936962685
216,1.3971155422765698
217,1.39696279253465
218,1.3968180684065241
219,1.3966812608481574
220,1.3965404010591946
221,1.3964034157649
222,1.3962689467484906
223,1.39613956118358
224,1.3960100128723552
225,1.3958841707085219
226,1.3957619858468027
227,1.3956382994709384
228,1.3955220360725704
229,1.3954054993438187
230,1.39530004334948
231,1.3952055254512912
232,1.3951093013489855
233,1.395012637762251
234,1.3949143003710582
235,1.3948167794282902
236,1.3947114587079512
237,1.3946021086727898
238,1.3944960945339784
239,1.3943848759177357
240,1.3942745626545778
241,1.3941687558632279
242,1.394059005671742
243,1.3939501374330832
244,1.393844519246071
245,1.3937350036334735
246,1.393620457643104
247,1.3935056422761656
248,1.3933952425010938
249,1.393286873937522
250,1.3931805123129404
251,1.3930784470115618
252,1.392989843825963
253,1.3928984788082202
254,1.3928089564849109
255,1.3927178393892024
256,1.3926240116460862
257,1.3925365434232155
258,1.3924677422030398
259,1.392394969371554
260,1.3923149193608684
261,1.3922310130296025
262,1.3921532705242134
263,1.3920827265129443
264,1.3920181997037415
265,1.3919574304179765
266,1.3918981926326643
267,1.391838293358016
268,1.391780991596376
269,1.3917338180262269
270,1.3916902053623965
271,1.3916490424743084
272,1.3916113706444737
273,1.3915718306241125
274,1.3915293822028618
275,1.3914882830422466
276,1.3914495713058714
277,1.3914058782746324
278,1.3913635287338646
279,1.3913256329840304
280,1.3912952572944854
281,1.3912681852410442
282,1.391242320805789
283,1.3912114894773342
284,1.3911870003449212
285,1.3911606286470442
286,1.3911435730435027
287,1.39112358369402
288,1.3911057372727902
289,1.3910890052648857
290,1.3910673614296227
291,1.3910498464955714
292,1.391033431589097
293,1.3910220742674066
294,1.3910097902745577
295,1.3909975744260223
296,1.3909883726714751
297,1.3909792179545166
298,1.3909701097587905
299,1.3909610475745908
300,1.3909520308987497
301,1.3909430592345289
302,1.390934132091507
303,1.3909252489854829
304,1.3909164094383684
305,1.390907612978087
306,1.3908988591384748
307,1.390890147459186
308,1.3908814774855933
309,1.3908728487687012
310,1.3908642608650488
311,1.390855713336618
312,1.3908472057507542
313,1.3908387376800702
314,1.3908303087023706
315,1.3908219184005595
316,1.3908135663625656
317,1.3908052521812573
318,1.3907969754543705
319,1.3907887357844266
320,1.3907805327786544
321,1.3907723660489228
322,1.3907642352116638
323,1.3907561398877992
324,1.3907480797026757
325,1.3907400542859885
326,1.3907320632717213
327,1.3907241062980746
328,1.3907161830074035
329,1.3907082930461518
330,1.3907004360647897
331,1.3906926115004332
332,1.3906848179479179
333,1.3906770549344265
334,1.390669322134545
335,1.3906616192264531
336,1.390653945891872
337,1.3906463018160067
338,1.390638686687499
339,1.3906311001983709
340,1.3906235420439772
341,1.390616011922952
342,1.3906085095371628
343,1.3906010345916582
344,1.3905935867946244
345,1.3905861658573353
346,1.390578771494109
347,1.3905714034222607
348,1.3905640613620593
349,1.390556745036683
350,1.3905494541721783
351,1.3905421884974156
352,1.3905349477440492
353,1.390527731646476
354,1.390520539941794
355,1.3905133723697662
356,1.3905062286727763
357,1.3904991085957994
358,1.3904920118863553
359,1.3904849382944753
360,1.390477887572669
361,1.390470859475882
362,1.3904638537614655
363,1.3904568701891413
364,1.3904499085209672
365,1.3904429685213024
366,1.3904360499567767
367,1.3904291525962558
368,1.3904222762108098
369,1.3904154205736854
370,1.3904085854602692
371,1.3904017703462364
372,1.3903949735616488
373,1.3903881947078665
374,1.3903814335797264
375,1.3903746899627245
376,1.3903679627528016
377,1.3903612511843717
378,1.3903545550673462
379,1.3903478742132567
380,1.3903412084352342
381,1.3903345575479897
382,1.390327921367787
383,1.3903212997124221
384,1.3903146924012009
385,1.3903080992549173
386,1.390301520095834
387,1.3902949547476589
388,1.390288403035525
389,1.3902818647859712
390,1.3902753398269203
391,1.3902688279876605
392,1.3902623290988267
393,1.3902558429923795
394,1.390249369501585
395,1.3902429084610015
396,1.3902364597064567
397,1.3902300230750286
398,1.3902235984050317
399,1.3902171855359933
400,1.3902107843086438
401,1.3902043945648934
402,1.3901980161478185
403,1.3901916489016426
404,1.39018529267172
405,1.390178947304524
406,1.3901726126476255
407,1.3901662885496788
408,1.3901599748604057
409,1.3901536714305824
410,1.3901473781120222
411,1.3901410947575599
412,1.3901348212210383
413,1.390128557357295
414,1.390122303022144
415,1.3901160580723662
416,1.390109822365691
417,1.3901035957607848
418,1.3900973781172394
419,1.390091169295554
420,1.390084969157124
421,1.3900787775642296
422,1.3900725943800194
423,1.3900664194684984
424,1.3900602526945178
425,1.3900540939237613
426,1.3900479430227333
427,1.3900417998587418
428,1.3900356642998941
429,1.3900295362150803
430,1.390023415473961
431,1.390017301826942
432,1.3900111947303206
433,1.3900050940225184
434,1.3899989995779982
435,1.3899929112719067
436,1.389986828980063
437,1.3899807525789476
438,1.3899746814976501
439,1.3899686147557102
440,1.3899625522147545
441,1.3899564937583528
442,1.3899504392706175
443,1.389944388636188
444,1.3899383417251066
445,1.389932298188288
446,1.3899262578324874
447,1.3899202205454606
448,1.389914186215432
449,1.3899081547310863
450,1.389902125981558
451,1.3898960998564267
452,1.3898900762457025
453,1.3898840550398266
454,1.3898780361296528
455,1.3898720194064502
456,1.3898660047618858
457,1.3898599920880235
458,1.3898539812773139
459,1.3898479722225845
460,1.3898419648170355
461,1.3898359589542297
462,1.3898299545280868
463,1.3898239514328747
464,1.3898179495632017
465,1.389811948814011
466,1.389805949080572
467,1.389799950258474
468,1.389793952243618
469,1.3897879549322112
470,1.3897819582207578
471,1.3897759620060541
472,1.3897699661851795
473,1.3897639706554228
474,1.3897579752570037
475,1.3897519798381917
476,1.3897459842973048
477,1.3897399885328978
478,1.3897339924437688
479,1.3897279959289475
480,1.3897219988876892
481,1.3897160012194685
482,1.3897100028239775
483,1.389704003601113
484,1.3896980034509705
485,1.3896920022738457
486,1.3896859999702187
487,1.3896799964407551
488,1.3896739915862943
489,1.3896679853078457
490,1.3896619775065822
491,1.3896559680838372
492,1.3896499569410976
493,1.3896439439799906
494,1.3896379291022891
495,1.3896319122098981
496,1.3896258932048478
497,1.3896198719893014
498,1.3896138484655274
499,1.3896078225359125
